"specimen","location","country_rocks","analysis_type","rock_type","notes","SiO2","Al2O3","Fe2O3","MgO","CaO","Na2O","K2O","TiO2","P2O5","MnO","Cr2O3","Ba","Ni","Sc","LOI","Sum","Be","Co","Cs","Ga","Hf","Nb","Rb","Sn","Sr","Ta","Th","U","V","W","Zr","Y","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","TOT.C","TOT.S","Mo","Cu","Pb","Zn","Ni.1","As","Cd","Sb","Bi","Ag","Au","Hg","Tl","Se"
"610","Barchan S","Paleogene granites","XRF","basalt","",51.54,16.24,10.32,6.84,7.97,1.78,1.87,0.78,0.13,0.42,NA,NA,"",NA,2.06,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"611","Barchan S","Paleogene granites","XRF","basalt","",51.52,16.45,9.82,7.13,8.61,1.98,1.24,0.76,0.14,0.38,NA,NA,"",NA,1.93,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"612","Barchan S","Paleogene granites","XRF","basalt","",51.31,16.03,10.21,7.53,8.1,1.64,2.13,0.73,0.13,0.46,NA,NA,"",NA,1.67,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"614","Barchan S","Paleogene granites","XRF","basalt","",51.51,16.23,9.49,7.5,9.09,2.01,2.1,0.77,0.14,0.24,NA,NA,"",NA,0.81,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"0435","Barchans","Paleogene granites","XRF","basalt","",51.07,16.5,10.01,5.93,9.13,2.42,2.26,0.778,0.158,0.373,NA,NA,"",NA,1.49,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"0440","Barchans","Paleogene granites","XRF","basalt","",52.15,15.63,10.23,5.36,8.1,3.37,1.94,0.763,0.154,0.428,NA,NA,"",NA,2.07,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"17-100А-3","Petermann","","XRF","metadiabase","",47.8292,17.5616,10.2098,6.0954,9.9444,2.6407,0.5797,1.0659,0.1581,0.1634,NA,151,"38",NA,1.97,NA,"",NA,NA,19,NA,0,23,NA,536,"",2,0,NA,"",66,22,12,19,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,80,10,112,NA,"","","","","","",NA,"",""
"17-10А-1","Barchan S","Paleogene granites","XRF","basalt","",50.3748,15.4264,10.232,7.7696,7.7121,1.9691,1.8989,0.7263,0.1209,0.3736,NA,158,"65",NA,1.67,NA,"",NA,NA,16,NA,0,107,NA,297,"",3,0,NA,"",50,18,3,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,16,0,143,NA,"","","","","","",NA,"",""
"17-10A-1","Barchans","granites","ICP","basalt","",50.89,16.01,9.6,7.57,8.02,1.99,2.04,0.72,0.13,0.41,0.053,168,"93",28,2.3,99.76,"<1",26.9,7.9,15.6,1.7,1.4,115.9,2,315,"0.1",0.8,0.4,201,"2.4",63.4,15.2,7.4,15.3,2.26,10.2,2.58,0.81,2.82,0.44,2.75,0.58,1.66,0.24,1.57,0.24,0.08,"0.06",0.6,10.1,1.1,105,68.7,"0.6","<0.1","<0.1","<0.1","<0.1","<0.5",0.03,"1.4","<0.5"
"17-126А-3","Skua","APVG","XRF","metadiabase","",51.3256,13.6516,11.8411,5.0062,6.8033,2.3845,0.0555,1.355,0.1658,0.2974,NA,25,"29",NA,3.16,NA,"",NA,NA,19,NA,0,13,NA,306,"",4,0,NA,"",44,20,9,16,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,32,8,100,NA,"","","","","","",NA,"",""
"17-38А-1","Barchan N","Paleogene granites","XRF","basalt","",51.5722,15.3917,8.5778,7.75,8.4786,2.0618,2.1042,0.7232,0.1136,0.2305,NA,138,"72",NA,1.3,NA,"",NA,NA,17,NA,0,120,NA,327,"",3,0,NA,"",51,16,4,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,78,0,88,NA,"","","","","","",NA,"",""
"17-38A-1","Barchans","granites","ICP","basalt","",51.7,16.03,8.05,7.66,8.9,2.08,2.26,0.67,0.12,0.25,0.056,127,"103",28,1.9,99.76,"<1",32,8.8,13.9,1.6,1.2,120.4,1,339,"<0.1",0.8,0.3,191,"0.8",58,13.7,6.8,14,2.06,8.7,2.36,0.76,2.57,0.43,2.69,0.55,1.68,0.22,1.44,0.22,0.1,"0.03",0.3,80.3,0.9,57,80.9,"0.5","<0.1","<0.1","0.1","<0.1","1.6",0.04,"1.2","<0.5"
"17-84A-2","Galindez","APVG","ICP","basalt","crosscut sill",46.42,18.83,9.68,8,10.15,2.04,0.69,0.98,0.18,0.16,0.023,206,"109",26,2.5,99.73,"1",40.5,5.5,17.2,1.5,1.9,22.1,3,497.8,"<0.1",0.6,0.2,218,"<0.5",56.1,14.4,7.5,16.4,2.44,11.1,2.68,1,2.79,0.44,2.71,0.53,1.59,0.2,1.38,0.23,0.07,"<0.02",0.1,88.9,2,53,94.2,"4.1","<0.1","<0.1","<0.1","0.1","0.7",0.04,"0.3","<0.5"
"17-93A-3","Galindez","APVG","ICP","basalt","crosscut sill",47.46,17.52,9.15,8.65,9.24,2.54,0.38,0.95,0.22,0.18,0.06,230,"163",26,3.4,99.82,"<1",39.4,1.8,18.4,1.6,2.4,10.7,3,637.5,"0.2",0.6,0.2,204,"<0.5",62.1,14.3,8.7,17.9,2.61,11.6,2.67,1.03,2.94,0.45,2.68,0.55,1.56,0.23,1.39,0.21,0.07,"<0.02",0.2,55.3,1.5,52,169.1,"6.6","<0.1","<0.1","<0.1","0.1","<0.5",0.05,"<0.1","<0.5"
"17-9А-2","Barchan S","Paleogene granites","XRF","basalt","",51.1936,15.4277,8.7268,7.2918,8.3464,2.1147,1.7051,0.7397,0.1211,0.1862,NA,153,"69",NA,1.99,NA,"",NA,NA,15,NA,0,92,NA,323,"",2,2,NA,"",51,17,8,12,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,54,0,125,NA,"","","","","","",NA,"",""
"17-9A-2","Barchans","granites","ICP","basalt","",51.5,16.2,8.54,7.33,8.95,2.09,1.87,0.69,0.12,0.21,0.054,155,"90",28,2.2,99.75,"<1",33,9.2,14.6,1.7,1.3,97.1,4,342.2,"<0.1",1.2,0.4,197,"0.9",64.2,15,8.1,15.9,2.37,10.3,2.48,0.92,2.86,0.46,2.71,0.57,1.63,0.25,1.63,0.25,0.4,"0.03",0.6,60.8,0.9,116,75.9,"0.7","<0.1","0.1","<0.1","<0.1","<0.5",0.08,"1.3","<0.5"
"6-1","Barchans","Paleogene granites","XRF","basalt","",42.4052666666667,15.073,9.50183333333333,7.49706666666667,7.21336666666667,2.4483,2.7238,0.8412,0.1769,0.1986,NA,NA,"",NA,6.63,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
"8/25","Barchan S","Paleogene granites","XRF","basalt","",50.89,15.95,8.38,6.84,9.71,1.82,2.1,0.94,0.18,0.35,NA,NA,"",NA,2.22,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","","",NA,"",""
