Specimen,Location,Country rocks,Analysis type,Rock Type,Notes,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Cr2O3,Ba,Ni,Sc,LOI,Sum,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,TOT/C,TOT/S,Mo,Cu,Pb,Zn,Ni,As,Cd,Sb,Bi,Ag,Au,Hg,Tl,Se
610,Barchan S,Paleogene granites,XRF,basalt,,"51,54","16,24","10,32","6,84","7,97","1,78","1,87","0,78","0,13","0,42",,,,,"2,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Barchan S,Paleogene granites,XRF,basalt,,"51,52","16,45","9,82","7,13","8,61","1,98","1,24","0,76","0,14","0,38",,,,,"1,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Barchan S,Paleogene granites,XRF,basalt,,"51,31","16,03","10,21","7,53","8,1","1,64","2,13","0,73","0,13","0,46",,,,,"1,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Barchan S,Paleogene granites,XRF,basalt,,"51,51","16,23","9,49","7,5","9,09","2,01","2,1","0,77","0,14","0,24",,,,,"0,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0435,Barchans,Paleogene granites,XRF,basalt,,"51,07","16,5","10,01","5,93","9,13","2,42","2,26","0,778","0,158","0,373",,,,,"1,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,Barchans,Paleogene granites,XRF,basalt,,"52,15","15,63","10,23","5,36","8,1","3,37","1,94","0,763","0,154","0,428",,,,,"2,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-100А-3,Petermann,,XRF,metadiabase,,"47,8292","17,5616","10,2098","6,0954","9,9444","2,6407","0,5797","1,0659","0,1581","0,1634",,151,38,,"1,97",,,,,19,,0,23,,536,,2,0,,,66,22,12,19,,10,,,,,,,,,,,,,,80,10,112,,,,,,,,,,
17-10А-1,Barchan S,Paleogene granites,XRF,basalt,,"50,3748","15,4264","10,232","7,7696","7,7121","1,9691","1,8989","0,7263","0,1209","0,3736",,158,65,,"1,67",,,,,16,,0,107,,297,,3,0,,,50,18,3,8,,5,,,,,,,,,,,,,,16,0,143,,,,,,,,,,
17-10A-1,Barchans,granites,ICP,basalt,,50.89,16.01,9.60,7.57,8.02,1.99,2.04,0.72,0.13,0.41,0.053,168,93,28,2.3,99.76,<1,26.9,7.9,15.6,1.7,1.4,115.9,2,315.0,0.1,0.8,0.4,201,2.4,63.4,15.2,7.4,15.3,2.26,10.2,2.58,0.81,2.82,0.44,2.75,0.58,1.66,0.24,1.57,0.24,0.08,0.06,0.6,10.1,1.1,105,68.7,0.6,<0.1,<0.1,<0.1,<0.1,<0.5,0.03,1.4,<0.5
17-114А-2,Forge,granites,XRF,porphyritic diabase,,"44,2402","17,1863","9,871","7,2492","8,6993","3,1741","1,196","0,8732","0,1117","0,1607",,570,34,,"3,65",,,,,18,,0,45,,986,,4,8,,,26,13,17,34,,15,,,,,,,,,,,,,,16,18,110,,,,,,,,,,
17-123А-1,Barchan W,,XRF,diabase,,"48,7282","16,5387","9,0975","6,9862","9,5158","1,85","0,5911","0,8329","0,1204","0,2474",,74,55,,"2,28",,,,,18,,0,44,,390,,5,0,,,47,17,3,10,,9,,,,,,,,,,,,,,67,9,148,,,,,,,,,,
17-123A-1,Barchans,granites,ICP,diabase,,50.45,17.21,8.96,6.72,10.04,2.06,0.66,0.84,0.12,0.28,0.027,73,61,31,2.4,99.76,<1,30.9,3.3,15.8,1.6,1.4,37.3,1,397.1,0.1,0.5,0.3,231,0.9,58.5,13.7,6.8,15.0,2.16,9.7,2.51,0.94,2.81,0.45,2.61,0.55,1.52,0.21,1.44,0.23,0.10,0.03,0.4,67.9,7.7,105,42.5,1.6,<0.1,0.4,3.7,0.1,<0.5,0.03,0.5,<0.5
17-124А-3,Barchan W,granites,XRF,porphyritic microdiorite,,"54,4458","15,5959","8,0068","3,787","5,9324","3,4534","1,1515","0,8101","0,1498","0,1558",,308,24,,"2,4",,,,,19,,0,50,,385,,3,0,,,98,26,16,25,,6,,,,,,,,,,,,,,50,1,106,,,,,,,,,,
17-124A-2,Barchans,granites,ICP,porphyritic microdiorite,,56.76,16.81,8.37,3.46,6.93,3.59,1.12,0.86,0.19,0.17,0.004,317,<20,23,1.5,99.82,2,20.0,0.4,17.4,3.1,3.3,26.0,2,422.2,0.2,1.6,0.5,190,0.6,116.3,23.2,12.9,27.9,3.85,16.2,3.74,1.24,4.18,0.65,4.00,0.87,2.51,0.36,2.48,0.41,0.08,<0.02,0.6,26.9,3.0,40,8.7,0.6,<0.1,<0.1,<0.1,<0.1,<0.5,0.03,<0.1,<0.5
17-126А-2,Skua,APVG,XRF,andesite,,"61,2388","15,1824","7,4237","2,152","2,7588","6,1179","0,0535","1,0051","0,2547","0,2658",,89,17,,"1,53",,,,,19,,1,13,,304,,6,0,,,207,50,28,44,,15,,,,,,,,,,,,,,13,5,108,,,,,,,,,,
17-126А-3,Skua,APVG,XRF,metadiabase,,"51,3256","13,6516","11,8411","5,0062","6,8033","2,3845","0,0555","1,355","0,1658","0,2974",,25,29,,"3,16",,,,,19,,0,13,,306,,4,0,,,44,20,9,16,,6,,,,,,,,,,,,,,32,8,100,,,,,,,,,,
17-126А-4,Skua,APVG,XRF,diabase,,"47,1695","16,7945","9,9056","7,4524","9,1773","2,3438","0,0474","0,9655","0,1364","0,1821",,69,53,,"2,45",,,,,18,,0,13,,496,,2,0,,,35,17,5,9,,5,,,,,,,,,,,,,,44,1,78,,,,,,,,,,
17-38А-1,Barchan N,Paleogene granites,XRF,basalt,,"51,5722","15,3917","8,5778","7,75","8,4786","2,0618","2,1042","0,7232","0,1136","0,2305",,138,72,,"1,3",,,,,17,,0,120,,327,,3,0,,,51,16,4,8,,8,,,,,,,,,,,,,,78,0,88,,,,,,,,,,
17-38A-1,Barchans,granites,ICP,basalt,,51.70,16.03,8.05,7.66,8.90,2.08,2.26,0.67,0.12,0.25,0.056,127,103,28,1.9,99.76,<1,32.0,8.8,13.9,1.6,1.2,120.4,1,339.0,<0.1,0.8,0.3,191,0.8,58.0,13.7,6.8,14.0,02.06,8.7,2.36,0.76,2.57,0.43,2.69,0.55,1.68,0.22,1.44,0.22,0.10,0.03,0.3,80.3,0.9,57,80.9,0.5,<0.1,<0.1,0.1,<0.1,1.6,0.04,1.2,<0.5
17-40А-1,Barchan N,Paleogene granites,XRF,dioritic porphyrite,,"57,0807","16,2332","7,8532","3,9149","6,7899","3,481","0,8941","0,8355","0,142","0,129",,284,23,,"1,24",,,,,18,,0,40,,385,,2,0,,,100,26,11,17,,10,,,,,,,,,,,,,,40,0,68,,,,,,,,,,
17-51А-1,Forge,Paleogene granites,XRF,diabase,Central part of the dyke,"44,5171","16,6974","9,8048","7,4853","7,2363","2,9541","2,0514","0,8628","0,122","0,1537",,422,34,,"4,22",,,,,17,,0,94,,761,,3,6,,,31,14,8,32,,12,,,,,,,,,,,,,,68,8,102,,,,,,,,,,
17-51А-2,Forge,Paleogene granites,XRF,diabase,Chilled margin,"42,7352","17,1216","10,1682","7,3814","7,9335","3,509","0,8759","0,8789","0,1274","0,1698",,205,37,,"5,02",,,,,19,,0,42,,825,,2,2,,,36,14,15,34,,15,,,,,,,,,,,,,,223,3,136,,,,,,,,,,
17-58А-1,Irizar,,XRF,megacrystic porphyrite,,"49,3111","19,9689","10,0367","4,1559","11,1746","2,2963","0,1856","1,2393","0,1664","0,1931",,78,23,,"0,4",,,,,19,,0,14,,344,,2,0,,,50,24,11,15,,6,,,,,,,,,,,,,,15,0,87,,,,,,,,,,
17-58A-1,Irizar,APVG?,ICP,porphyritic microgabbro,,49.09,19.95,10.71,4.00,11.17,2.32,0.21,1.18,0.16,0.21,0.006,68,<20,30,0.8,99.81,<1,26.8,0.6,18.8,1.8,2.1,3.9,1,352.1,0.2,0.9,0.2,307,<0.5,61.8,20.9,7.0,15.4,2.45,11.8,3.09,1.14,3.81,0.61,3.92,0.84,2.41,0.35,2.15,0.34,0.08,<0.02,0.3,14.4,1.5,30,7.0,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,0.04,<0.1,<0.5
17-58A-2,Irizar,APVG?,ICP,porphyritic microgabbro,,54.09,19.15,09.08,2.90,9.79,2.50,0.13,1.31,0.18,0.17,0.005,69,<20,34,0.5,99.83,<1,21.9,0.5,18.8,2.0,2.3,2.0,1,361.0,0.1,1.0,0.2,313,0.7,70.1,21.9,7.3,17.8,2.71,13.1,3.38,1.22,3.98,0.65,4.12,0.88,2.49,0.34,2.26,0.33,0.06,<0.02,0.3,22.0,4.3,30,5.4,1.4,<0.1,<0.1,<0.1,<0.1,<0.5,0.01,<0.1,<0.5
17-59A-1,Irizar,gabbro-porphyrite,ICP,diabase,crosscut the gabbro-porphyrite body of the Irizar-2,54.17,16.54,10.95,3.51,7.92,4.28,0.16,1.38,0.23,0.17,0.003,22,<20,34,0.5,99.84,<1,21.5,0.3,19.5,2.6,3.1,5.6,1,110.6,0.2,2.4,0.5,309,1.1,89.4,21.5,11.3,24.8,3.39,15.3,3.64,1.16,4.00,0.64,4.05,0.84,2.51,0.34,2.18,0.34,0.08,<0.02,0.5,14.5,2.4,35,7.8,1.5,<0.1,<0.1,<0.1,<0.1,<0.5,0.01,<0.1,<0.5
17-62А-3,NW part ot Petermann Isl,93(+-8) granites,XRF,spessartite,"diabase, central part","44,9678","16,8509","10,0267","11,4383","8,569","1,6147","1,3719","0,9963","0,1518","0,1587",,372,241,,"1,77",,,,,16,,0,40,,611,,2,0,,,57,16,8,14,,8,,,,,,,,,,,,,,8,6,113,,,,,,,,,,
17-62A-2,Petermann,gabbroids,ICP,porphyritic microgabbro,dyke-1,50.09,18.13,10.71,4.45,9.53,3.15,0.68,1.56,0.40,0.16,0.011,304,29,27,0.9,99.76,1,29.1,1.7,20.1,4.4,5.5,20.3,3,516.9,0.3,5.3,1.1,272,0.8,158.5,28.9,21.6,47.9,6.65,28.8,6.61,1.64,6.33,0.95,5.57,1.07,3.11,0.42,2.61,0.42,0.04,0.03,0.6,56.6,3.4,43,14.8,1.3,<0.1,<0.1,<0.1,<0.1,1.4,0.01,<0.1,<0.5
17-62A-3,Petermann,gabbroids,ICP,lamprophyre,dyke-2,45.73,16.59,10.38,11.89,8.50,1.72,1.47,0.91,0.18,0.17,0.068,355,379,28,2.1,99.82,<1,56.1,5.9,17.3,1.7,2.6,34.1,3,638.2,0.2,0.8,0.3,194,0.5,70.4,15.0,7.4,15.2,2.18,9.9,2.56,0.85,2.73,0.45,2.91,0.58,1.76,0.26,1.58,0.23,0.10,<0.02,0.5,16.8,6.7,57,247.5,0.9,<0.1,<0.1,<0.1,<0.1,<0.5,0.02,0.3,<0.5
17-63А-5,Petermann,gabbroids,XRF,diabase,,"48,1592","18,0139","9,5568","6,1225","9,0366","3,0848","0,6822","1,0816","0,14","0,1888",,176,30,,"1,98",,,,,18,,0,28,,505,,3,0,,,55,18,9,18,,12,,,,,,,,,,,,,,91,21,177,,,,,,,,,,
17-63A-5,Petermann,gabbroids,ICP,diabase,central part,48.90,18.09,10.17,5.76,9.39,3.03,0.75,1.07,0.14,0.20,0.006,163,26,34,2.2,99.73,<1,43.5,1.2,19.8,2.0,1.4,19.9,2,536.8,<0.1,1.5,0.4,309,0.5,70.9,17.2,8.6,18.9,2.91,13.7,3.58,1.16,3.71,0.55,3.30,0.69,1.99,0.26,1.82,0.27,0.12,0.05,0.5,100.9,14.8,147,18.1,5.9,0.4,<0.1,<0.1,0.1,0.5,0.13,<0.1,<0.5
17-80А-2,Petermann,,XRF,lamprophyre,,"49,27","16,418","9,7714","6,6707","11,6093","2,6292","0,1748","0,9163","0,1485","0,1548",,98,50,,"0,93",,,,,20,,0,18,,1003,,4,5,,,37,14,18,29,,12,,,,,,,,,,,,,,23,14,94,,,,,,,,,,
17-84A-2,Galindez,APVG,ICP,basalt,crosscut sill,46.42,18.83,9.68,8.00,10.15,2.04,0.69,0.98,0.18,0.16,0.023,206,109,26,2.5,99.73,1,40.5,5.5,17.2,1.5,1.9,22.1,3,497.8,<0.1,0.6,0.2,218,<0.5,56.1,14.4,7.5,16.4,2.44,11.1,2.68,1.00,2.79,0.44,2.71,0.53,1.59,0.20,1.38,0.23,0.07,<0.02,0.1,88.9,2.0,53,94.2,4.1,<0.1,<0.1,<0.1,0.1,0.7,0.04,0.3,<0.5
17-93A-3,Galindez,APVG,ICP,basalt,crosscut sill,47.46,17.52,9.15,8.65,9.24,2.54,0.38,0.95,0.22,0.18,0.060,230,163,26,3.4,99.82,<1,39.4,1.8,18.4,1.6,2.4,10.7,3,637.5,0.2,0.6,0.2,204,<0.5,62.1,14.3,8.7,17.9,2.61,11.6,2.67,01.03,2.94,0.45,2.68,0.55,1.56,0.23,1.39,0.21,0.07,<0.02,0.2,55.3,1.5,52,169.1,6.6,<0.1,<0.1,<0.1,0.1,<0.5,0.05,<0.1,<0.5
17-9А-2,Barchan S,Paleogene granites,XRF,basalt,,"51,1936","15,4277","8,7268","7,2918","8,3464","2,1147","1,7051","0,7397","0,1211","0,1862",,153,69,,"1,99",,,,,15,,0,92,,323,,2,2,,,51,17,8,12,,9,,,,,,,,,,,,,,54,0,125,,,,,,,,,,
17-9A-2,Barchans,granites,ICP,basalt,,51.50,16.20,8.54,7.33,8.95,2.09,1.87,0.69,0.12,0.21,0.054,155,90,28,2.2,99.75,<1,33.0,9.2,14.6,1.7,1.3,97.1,4,342.2,<0.1,1.2,0.4,197,0.9,64.2,15.0,8.1,15.9,2.37,10.3,2.48,0.92,2.86,0.46,2.71,0.57,1.63,0.25,1.63,0.25,0.40,0.03,0.6,60.8,0.9,116,75.9,0.7,<0.1,0.1,<0.1,<0.1,<0.5,0.08,1.3,<0.5
19-195A-4,Vedel,tonalites,ICP,porphyritic microdiorite,,50.60,18.59,8.43,5.40,8.64,2.74,1.57,0.78,0.13,0.14,0.006,200,26,23,2.7,99.77,<1,24.3,2.0,17.3,2.2,3.8,31.8,2,625.9,0.3,2.2,1.0,217,1.8,79.5,14.0,10.5,22.6,3.21,14.3,3.26,1.09,3.17,0.47,2.71,0.52,1.56,0.21,1.40,0.22,0.27,<0.02,0.7,35.5,2.1,47,15.4,4.1,<0.1,0.1,<0.1,<0.1,1.2,0.03,<0.1,<0.5
19-195A-6,Vedel,tonalites,ICP,porphyritic microdiorite,,48.27,17.15,9.64,6.49,9.29,2.82,1.62,1.13,0.46,0.23,0.026,298,62,22,2.5,99.72,<1,27.5,2.3,18.7,3.2,19.5,41.9,2,643.3,1.2,2.6,1.2,216,0.7,144.9,18.6,25.3,51.1,6.91,28.8,6.01,1.86,5.21,0.72,3.76,0.69,1.94,0.26,1.75,0.26,0.23,<0.02,1.3,93.8,1.4,71,43.0,9.4,<0.1,0.2,<0.1,<0.1,0.9,0.03,0.1,<0.5
6-1,Barchans,Paleogene granites,XRF,basalt,,"42,40526667","15,073","9,501833333","7,497066667","7,213366667","2,4483","2,7238","0,8412","0,1769","0,1986",,,,,"6,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25,Barchan S,Paleogene granites,XRF,basalt,,"50,89","15,95","8,38","6,84","9,71","1,82","2,1","0,94","0,18","0,35",,,,,"2,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,